Ship name,IMO Number,Flag,Gross tonnage,Type of ship,Date,Time,Area,Latitude,Longitude,Place,Label
Vantage Wave,9506514.0,Liberia,22064.0,General cargo ship,2021-01-28,18:20,Malacca Strait,1° 16.87' N,104° 18.70' E,In international waters,1
Ark Royal,9219446.0,Barbados,27011.0,Bulk carrier,2021-01-25,03:25,South China Sea,1° 16.58' N,104° 15.70' E,In international waters,1
Maersk Cardiff,9529255.0,Singapore,50869.0,Container ship,2021-01-13,19:20,West Africa,2° 23.58' N,5° 31.00' E,In international waters,1
Myrto,9518086.0,Marshall Islands,43012.0,Bulk carrier,2021-01-14,08:49,Arabian Sea,12° 06.10' N,44° 26.50' E,In international waters,1
SBI Orion,9705330.0,Marshall Islands,36421.0,Bulk carrier,2021-01-03,03:30,South China Sea,0° 15.80' S,117° 34.30' E,In port area,1
Sagittarius,9550254.0,Marshall Islands,17025.0,Bulk carrier,2021-01-04,00:53,North Atlantic Ocean,18° 38.00' N,72° 37.00' W,In port area,1
Ostria,9302671.0,Liberia,25108.0,Product tanker,2021-01-20,22:00,West Africa,5° 23.43' N,3° 44.52' E,In international waters,1
Port Gdynia,9334387.0,Malta,34642.0,Container ship,2020-12-21,04:09,West Africa,2° 37.00' N,5° 37.00' E,In international waters,1
Blue Ivy,9245263.0,Panama,6806.0,General cargo ship,2020-12-26,01:30,West Africa,4° 53.51' N,1° 41.87' W,In port area,1
Niledutch Breda,9612765.0,Cyprus,39106.0,Container ship,2021-01-04,00:48,West Africa,4° 42.93' S,11° 44.21' E,In port area,1
BW Pavilion Leeara,9640645.0,Singapore,105945.0,LPG tanker,2020-12-22,11:15,West Africa,2° 26.50' N,5° 24.90' E,In international waters,1
AM Delta,9015929.0,Ghana,999.0,General cargo ship,2020-11-16,03:20,West Africa,3° 32.70' N,6° 09.39' E,In territorial waters,1
Diyala,9829643.0,Marshall Islands,162192.0,Tanker,2020-12-29,16:40,West Africa,2° 44.00' N,6° 24.00' E,In international waters,1
Milan,8113619.0,Saint Kitts and Nevis,1576.0,General cargo ship,2020-11-26,12:58,West Africa,4° 28.10' N,5° 31.17' E,In international waters,1
Bob Barker,5280540.0,Netherlands,488.0,Research ship,2020-11-09,06:30,West Africa,4° 26.30' N,2° 42.00' E,In international waters,1
ANASA,9389215.0,Cyprus,31258.0,Bulk carrier,2020-03-27,02:30,West Africa,9° 12.00' N,13° 43.00' W,In port area,1
Methane Princess,9253715.0,Marshall Islands,93899.0,LPG tanker,2020-10-17,05:34,West Africa,3° 46.96' N,8° 41.88' E,In port area,1
Maersk Cadiz,9526459.0,Singapore,50869.0,Container ship,2020-12-19,13:36,West Africa,2° 36.79' N,6° 12.19' E,In international waters,1
Bridgewater 80,9299848.0,Singapore,1705.0,Tug,2020-12-12,18:50,Indian Ocean,21° 48.80' N,91° 42.50' E,In international waters,1
Cool Girl,9194921.0,Panama,8507.0,Refrigerated cargo carrier,2020-12-03,10:35,West Africa,2° 50.00' N,5° 25.00' E,In international waters,1
Boracay Island,9760641.0,Panama,23887.0,General cargo ship,2020-12-05,06:25,South America (P),12° 19.00' S,77° 11.50' W,In port area,1
Minerva Evropi,9785237.0,Greece,81361.0,Tanker,2020-12-04,09:40,West Africa,2° 34.13' N,2° 53.70' E,In international waters,1
Tango Rey,9214185.0,Vanuatu,6382.0,General cargo ship,2020-11-30,03:00,West Africa,9° 21.80' N,13° 42.40' W,In port area,1
Semirio,9406893.0,Marshall Islands,88955.0,Bulk carrier,2020-11-29,22:20,Malacca Strait,1° 16.40' N,104° 15.50' E,In international waters,1
Resilience,9511454.0,Italy,91971.0,Bulk carrier,2020-11-27,01:40,West Africa,4° 53.27' N,1° 41.61' W,In port area,1
Errina,9802061.0,Panama,15450.0,Product tanker,2020-11-22,06:57,West Africa,4° 38.63' N,3° 28.44' E,In international waters,1
Fairchem Sword,9673678.0,Marshall Islands,11752.0,Product tanker,2020-11-24,21:15,Malacca Strait,1° 42.93' N,101° 26.48' E,In port area,1
Epic Bolivar,9254264.0,Singapore,6036.0,LPG tanker,2020-11-25,21:05,Indian Ocean,22° 22.99' N,89° 37.37' E,In international waters,1
Asia Emerald III,9530682.0,Singapore,33045.0,Bulk carrier,2020-11-19,10:30,South China Sea,20° 55.79' N,107° 18.06' W,In port area,1
Asia Spring,9223320.0,Panama,39994.0,Bulk carrier,2020-11-17,14:50,Malacca Strait,1° 15.00' N,104° 04.30' E,In international waters,1
MTM Amsterdam,9776444.0,Singapore,12184.0,Product tanker,2020-11-18,04:19,Malacca Strait,1° 16.58' N,104° 14.57' E,In territorial waters,1
BSL Cape Town,9275048.0,Liberia,26833.0,Container ship,2020-11-13,02:12,West Africa,4° 53.20' N,1° 42.60' W,In port area,1
Jane,9364588.0,Marshall Islands,29733.0,Product tanker,2020-11-11,01:00,West Africa,5° 12.00' N,2° 35.00' E,In international waters,1
La Boheme,9314167.0,Marshall Islands,42684.0,Product tanker,2020-11-09,20:28,West Africa,4° 45.42' N,2° 26.83' E,In international waters,1
Torm Alexandra,9466001.0,Singapore,30302.0,Chemical tanker,2020-11-07,06:15,West Africa,3° 31.23' N,2° 33.54' E,In international waters,1
Hanyang,9714226.0,Singapore,24785.0,Bulk carrier,2020-10-30,08:00,South China Sea,10° 45.50' N,106° 43.70' E,In international waters,1
Cape Martin,9360245.0,Cyprus,28007.0,Container ship,2020-11-03,01:30,South China Sea,10° 14.80' N,107° 00.90' E,In port area,1
Zeno,9247429.0,Liberia,79668.0,Tanker,2020-11-08,21:25,Malacca Strait,1° 16.46' N,104° 12.53' E,In international waters,1
Lefkada,9767546.0,Liberia,23306.0,Bulk carrier,2020-11-09,02:20,Malacca Strait,1° 17.70' N,104° 20.02' E,In international waters,1
Atlantic Diana,9515539.0,Panama,17018.0,Bulk carrier,2020-11-09,03:08,Malacca Strait,1° 16.73' N,104° 18.02' E,In international waters,1
Nord Biscay,9799795.0,Singapore,35332.0,Bulk carrier,2020-11-04,04:00,South America (A),0° 03.70' S,51° 10.00' W,In port area,1
Wesley,8917924.0,Marshall Islands,9382.0,Product tanker,2020-11-07,16:20,West Africa,3° 35.90' N,4° 36.30' E,In international waters,1
Nefeli II,9291638.0,Panama,6501.0,Product tanker,2020-11-04,05:49,West Africa,2° 43.92' N,6° 02.81' E,In international waters,1
Team Hope,9616723.0,Marshall Islands,22662.0,Bulk carrier,2020-11-02,23:30,East Africa,14° 22.90' S,40° 42.10' E,In port area,1
S G Friendship,9288576.0,Panama,11594.0,Chemical tanker,2020-10-28,04:05,Malacca Strait,1° 42.50' N,101° 28.20' E,In port area,1
Seajourney,9392456.0,Marshall Islands,43152.0,Bulk carrier,2020-10-25,23:09,Malacca Strait,1° 15.03' N,104° 06.15' E,In international waters,1
A Racer,9086318.0,Liberia,16041.0,Bulk carrier,2020-10-25,17:00,Malacca Strait,1° 14.08' N,104° 07.50' E,In international waters,1
El Matador,9750048.0,Cyprus,36394.0,Bulk carrier,2020-10-26,01:30,Malacca Strait,1° 14.60' N,104° 07.58' E,In international waters,1
Maersk Rubicon,9632480.0,Singapore,51032.0,Container ship,2020-10-19,02:07,West Africa,4° 46.50' S,11° 45.55' E,In port area,1
PTI Nile,9747338.0,"Hong Kong, China",29557.0,Tanker,2020-10-17,17:10,West Africa,4° 14.00' N,1° 24.00' W,In international waters,1
FSL New York,9340453.0,Singapore,11587.0,Chemical tanker,2020-10-13,23:30,South China Sea,1° 16.54' N,104° 15.06' E,In international waters,1
Ian M,9434773.0,Liberia,93916.0,Bulk carrier,2020-10-14,00:40,Malacca Strait,1° 17.40' N,104° 20.00' E,In international waters,1
Wuchow,9657856.0,"Hong Kong, China",24785.0,Bulk carrier,2020-10-05,09:30,South America (P),12° 59.00' S,77° 13.26' W,In port area,1
Ganj,9305219.0,Iran (Islamic Republic of),40166.0,Bulk carrier,2020-10-11,00:26,North Pacific Ocean,1° 16.42' N,104° 13.92' E,In international waters,1
Basat,9447029.0,Malta,7260.0,Product tanker,2020-10-09,02:45,West Africa,6° 26.70' N,3° 22.80' E,In port area,1
SSI Privilege,9848089.0,Marshall Islands,36353.0,Bulk carrier,2020-10-08,06:20,South America (A),0° 00.88' N,51° 00.04' W,In port area,1
Lyme Bay,9631113.0,Liberia,40855.0,Container ship,2020-10-06,07:00,West Africa,4° 44.00' S,11° 46.00' E,In port area,1
Nord Steady,9629706.0,Singapore,29983.0,Product tanker,2020-10-01,03:42,West Africa,6° 21.04' N,10° 47.47' W,In port area,1
Arsos,9395123.0,Cyprus,15375.0,Container ship,2020-10-02,03:24,South America (P),2° 33.59' S,80° 06.30' W,In territorial waters,1
CHAMPION PRINCE,9488011.0,Singapore,59024.0,Product tanker,2020-09-29,16:00,Malacca Strait,1° 31.10' N,104° 49.00' E,In international waters,1
Uni Blossom,9816567.0,"Hong Kong, China",23303.0,Bulk carrier,2020-09-23,00:01,Malacca Strait,1° 15.40' N,104° 05.50' E,In territorial waters,1
Nord Neptune,9310537.0,Denmark,38892.0,Bulk carrier,2020-09-20,04:10,South America (A),0° 01.39' N,51° 00.08' W,In port area,1
Arguello,9409027.0,Liberia,40839.0,Container ship,2020-09-06,04:33,South China Sea,14° 33.41' N,120° 52.35' E,In port area,1
RHL Audacia,9357846.0,Liberia,18480.0,Container ship,2020-09-09,05:54,South America (P),12° 01.49' S,77° 12.65' W,In port area,1
Captainyannis L,9343546.0,Marshall Islands,30657.0,Bulk carrier,2020-06-25,19:45,South China Sea,0° 15.16' S,117° 35.54' E,In port area,1
AAL Nanjing,9521552.0,Liberia,14053.0,General cargo ship,2020-09-03,19:35,South China Sea,14° 31.87' N,120° 50.59' E,In port area,1
Osaka Bay,9789922.0,"Hong Kong, China",31863.0,Bulk carrier,2020-06-14,00:00,South China Sea,10° 13.20' N,107° 02.30' E,In port area,1
Stolt Perseverance,9124471.0,Cayman Islands (United Kingdom),25196.0,Chemical tanker,2020-08-28,20:05,Malacca Strait,1° 42.80' N,101° 26.60' E,In port area,1
GS Fabulous,9421269.0,Singapore,11261.0,Chemical tanker,2020-08-25,05:00,South China Sea,5° 49.00' N,118° 07.00' E,In territorial waters,1
Amina,9305192.0,Iran (Islamic Republic of),40166.0,Bulk carrier,2020-08-29,23:24,Malacca Strait,1° 16.93' N,104° 16.78' E,In territorial waters,1
Sea Diamond,9374181.0,Marshall Islands,40690.0,Bulk carrier,2020-08-30,00:40,Malacca Strait,1° 16.35' N,104° 15.71' E,In territorial waters,1
Bumblebee,9479046.0,Marshall Islands,31250.0,Bulk carrier,2020-04-04,14:30,South China Sea,3° 41.00' S,114° 26.00' E,In port area,1
Maersk Venturer,9633563.0,Singapore,60683.0,Mobile offshore drilling unit,2020-08-18,03:50,West Africa,4° 43.83' N,1° 35.41' W,In territorial waters,1
Vienna Wood,9593713.0,"Hong Kong, China",31540.0,Bulk carrier,2020-08-20,20:21,South China Sea,13° 44.18' N,121° 01.46' E,In port area,1
Pacific Sapphire,9508158.0,"Hong Kong, China",11572.0,Chemical tanker,2020-08-13,17:00,South China Sea,13° 46.63' N,120° 58.61' E,In port area,1
BBC Danube,9571399.0,Antigua and Barbuda,12980.0,General cargo ship,2020-08-10,02:06,West Africa,8° 41.98' S,13° 18.45' E,In port area,1
Newark,9322504.0,Liberia,35573.0,Container ship,2020-07-20,03:40,South China Sea,14° 32.66' N,120° 55.15' E,In port area,1
Taizhou Pioneer,9619892.0,Malta,20954.0,Bulk carrier,2020-07-29,03:10,South America (C),18° 35.90' N,72° 27.20' W,In territorial waters,1
Modigliani,9615406.0,Liberia,44980.0,Bulk carrier,2020-07-28,10:00,South America (A),0° 02.36' N,50° 59.08' W,In port area,1
Global Phenix,9552719.0,Panama,5917.0,LPG tanker,2020-07-08,14:04,South China Sea,3° 27.50' N,108° 40.90' E,In international waters,1
BS Ayres,9740287.0,Singapore,299.0,Tug,2020-07-26,08:37,Malacca Strait,1° 11.50' N,103° 32.30' E,In territorial waters,1
Curacao Trader,9340908.0,Liberia,7687.0,Product tanker,2020-07-17,10:00,West Africa,2° 57.00' N,2° 46.00' E,In international waters,1
Asia Energy,9606950.0,Bahamas,101427.0,Tanker,2020-06-26,22:17,South China Sea,14° 33.34' N,120° 48.70' E,In port area,1
MWV Falcon,9779290.0,Singapore,5312.0,Supply ship,2020-07-16,20:15,Indian Ocean,16° 58.70' N,82° 16.75' E,In port area,1
Port Macau,9423475.0,Marshall Islands,32415.0,Bulk carrier,2020-06-30,02:35,West Africa,4° 53.01' N,1° 41.98' W,In port area,1
Sendje Berge,7360057.0,Singapore,133871.0,Oil product tanker,2020-07-02,04:20,West Africa,3° 51.01' N,6° 58.08' E,In international waters,1
Cardinal,9274575.0,Marshall Islands,30645.0,Bulk carrier,2020-06-28,03:11,Malacca Strait,1° 16.54' N,104° 13.83' E,In territorial waters,1
Kota Budi,9638630.0,Singapore,20886.0,General cargo ship,2020-07-02,22:20,West Africa,3° 49.30' N,2° 25.00' E,In international waters,1
Frio Olympic,8801802.0,Panama,8487.0,Refrigerated cargo carrier,2020-07-01,16:40,Malacca Strait,1° 16.87' N,104° 19.10' E,In territorial waters,1
Frederike Oldendorff,9629988.0,Liberia,33729.0,Bulk carrier,2020-06-30,21:15,East Africa,14° 23.20' S,40° 41.90' E,In port area,1
Seaspan Fraser,9351608.0,"Hong Kong, China",41225.0,Container ship,2020-06-13,03:25,South China Sea,14° 35.70' N,120° 51.48' E,In port area,1
MARIA TOPIC,9726267.0,Marshall Islands,34905.0,Bulk carrier,2020-06-27,00:10,South America (P),12° 01.40' S,77° 10.80' W,In port area,1
CMA CGM PUGET,9248124.0,MAR (Portugal),49855.0,Container ship,2020-06-12,20:00,South China Sea,14° 33.50' N,120° 53.80' E,In port area,1
BW ZAMBESI,9393101.0,Singapore,43885.0,Product tanker,2020-06-17,02:00,South China Sea,5° 54.20' S,105° 59.00' E,In port area,1
MAGIC STRIKER,9493664.0,Bahamas,33044.0,Bulk carrier,2020-06-16,04:15,South China Sea,13° 11.08' N,100° 50.80' E,In port area,1
KARADENIZ POWERSHIP AYBERK BEY,9175236.0,Liberia,4606.0,Product tanker,2020-06-09,00:15,West Africa,9° 21.20' N,13° 47.00' W,In territorial waters,1
FJ STAR,9797682.0,Panama,35025.0,Bulk carrier,2020-06-10,03:30,South America (A),0° 02.80' N,50° 58.60' W,In port area,1
RED DAISY,9767584.0,Panama,34830.0,Bulk carrier,2020-05-28,20:20,South China Sea,0° 16.45' S,117° 36.70' E,In port area,1
DUBAI CROWN,9326378.0,Panama,30738.0,Bulk carrier,2020-06-02,11:00,South China Sea,0° 15.94' S,117° 36.84' E,In port area,1
FSL OSAKA,9354519.0,Singapore,28063.0,Product tanker,2020-05-24,16:00,Indian Ocean,22° 16.27' N,91° 48.64' E,In port area,1
BALTIC COVE,9450727.0,Liberia,23456.0,Bulk carrier,2020-05-21,18:30,South China Sea,20° 57.20' N,107° 18.79' E,In port area,1
ESL AUSTRALIA,9365661.0,Cyprus,11864.0,General cargo ship,2020-05-20,17:30,West Africa,2° 14.50' N,5° 03.70' E,In international waters,1
DOLPHIN 1,9541899.0,Comoros,499.0,Tug,2020-05-15,18:50,Malacca Strait,1° 13.85' N,103° 30.08' E,In territorial waters,1
SMS SANGATTA,9637519.0,Indonesia,372.0,Tug,2020-05-18,22:47,Malacca Strait,1° 13.35' N,104° 06.53' E,In territorial waters,1
VEGA AQUARIUS,9429170.0,Liberia,33044.0,Bulk carrier,2020-05-09,15:48,Malacca Strait,1° 15.20' N,104° 05.80' E,In territorial waters,1
Torm Venture,9307798.0,Denmark,42048.0,Product tanker,2020-05-17,19:25,South China Sea,5° 53.95' S,105° 59.07' E,In port area,1
STI Precision,9760213.0,Marshall Islands,43142.0,Tanker,2020-05-17,01:30,South China Sea,5° 58.70' S,105° 56.00' E,In port area,1
OCEAN LEADER,9402835.0,Singapore,11999.0,Product tanker,2020-05-16,21:00,South China Sea,1° 05.30' N,104° 10.80' E,In port area,1
MTM PENANG,9712591.0,Singapore,13122.0,Product tanker,2020-05-15,21:00,South China Sea,3° 47.30' N,98° 41.80' E,In port area,1
PORT PHILLIP,9377975.0,"Hong Kong, China",20987.0,Bulk carrier,2020-05-10,06:00,South America (C),18° 41.44' N,72° 21.46' W,In port area,1
VEGA AQUARIUS,9429170.0,Liberia,33044.0,Bulk carrier,2020-05-09,23:45,South China Sea,1° 15.10' N,104° 04.48' E,In territorial waters,1
Torm Lotte,9392468.0,Denmark,29325.0,Product tanker,2020-05-03,19:50,South China Sea,1° 36.70' N,104° 52.80' E,In international waters,1
Vemahope,9477751.0,Panama,4568.0,Product tanker,2020-04-30,18:45,West Africa,3° 29.99' N,3° 50.17' E,In international waters,1
